Board_Action_Indicator,Business_Name,County,County_Description,Email,Expire_Date,License_Active_Status_Description,License_Number,License_Status_Description,Mailing_Address_Area_Code,Mailing_Address_City,Mailing_Address_Line1,Mailing_Address_Phone_Extension,Mailing_Address_Phone_Number,Mailing_Address_State,Mailing_Address_ZIPcode,Mailing_Address_line2,Original_Date,Practice_Location_Address_City,Practice_Location_Address_Line1,Practice_Location_Address_State,Practice_Location_Address_ZIPcode,Practice_Location_Address_line2,Prescribe_Ind,Profession_Name,Rank_Code,Status_Effective_Date,address,address_administrative_area_level_1,address_administrative_area_level_2,address_country,address_formatted_address,address_lat,address_locality,address_lon,address_msg,address_neighborhood,address_postal_code,address_postal_code_suffix,address_route,address_street_number,address_subpremise,id,norm_id,index,lic_id,labels,correct_labels
N,MASSAGE OASIS INC,58,ORANGE,1561501545@qq.com,8/31/21,,38468,CLEAR,,ORLANDO,359 DEMPSEY WAY,,,FL,32835,,8/29/18,SAINT PETERSBURG,6901 TYRONE SQUARE,FL,33710,SUITE #510,N,Massage Establishment,MM,8/29/18,"6901 TYRONE SQUARE, SAINT PETERSBURG, FL 33710",Florida,Pinellas County,United States,"6901 22nd Ave N, St. Petersburg, FL 33710, USA",27.7938126,St. Petersburg,-82.7333951,OK,Jungle Terrace,33710,,22nd Avenue North,6901,,27.79381:-82.73340,27.79381:-82.73340#,massage,40260,0,0
N,WW Foot and Body Massage LLC,74,VOLUSIA,wwmassage1426@gmail.com,8/31/21,,35395,CLEAR,,DAYTONA BEACH,1426 S ATLANTIC AVE,,,FL,32118,SUITE # 1,7/13/16,DAYTONA BEACH,1426 S ATLANTIC AVE,FL,32118,SUITE # 1,N,Massage Establishment,MM,7/13/16,"1426 S ATLANTIC AVE, DAYTONA BEACH, FL 32118",Florida,Volusia County,United States,"1426 S Atlantic Ave, Daytona Beach, FL 32118, USA",29.2090945,Daytona Beach,-80.9997559,OK,Ocean Dunes South,32118,4847,South Atlantic Avenue,1426,,29.20909:-80.99976,29.20909:-80.99976#,massage,35921,0,0
N,BEACH MASSAGE SPA,74,VOLUSIA,juanxiao4581@gmail.com,8/31/21,,33439,CLEAR,,DAYTONA BEACH SHORES,2582 S ATLANTIC AVE,,,FL,32118,,2/26/15,DAYTONA BEACH SHORES,2582 S. ATLANTIC AVE.,FL,32118,,N,Massage Establishment,MM,2/26/15,"2582 S. ATLANTIC AVE., DAYTONA BEACH SHORES, FL 32118",Florida,Volusia County,United States,"2582 S Atlantic Ave, Daytona Beach Shores, FL 32118, USA",29.1843565,Daytona Beach Shores,-80.9875151,OK,,32118,5523,South Atlantic Avenue,2582,,29.18436:-80.98752,29.18436:-80.98752#,massage,33327,0,0
N,DORAL CHIROPRACTIC CENTER,23,MIAMI-DADE,doralchiro@bellsouth.net,8/31/21,,39481,CLEAR,,DORAL,2406 NW 87TH PLACE,,,FL,33172,,5/31/19,DORAL,2406 NW 87TH PLACE,FL,33172,,N,Massage Establishment,MM,5/31/19,"2406 NW 87TH PLACE, DORAL, FL 33172",Florida,Miami-Dade County,United States,"2406 NW 87th Ave, Doral, FL 33172, USA",25.7962483,Doral,-80.337127,OK,,33172,2410,Northwest 87th Avenue,2406,,25.79625:-80.33713,25.79625:-80.33713#,massage,41381,0,0
N,LTF CLUB OPERATIONS COMPANY INC DBA LIFE TIME FITNESS,720,Out of State,,8/31/21,,18816,CLEAR,,CHANHASSEN,2902 CORPORATE PLACE,,,MN,55317,,9/27/06,BOCA RATON,1499 YAMATO RD,FL,33431,,N,Massage Establishment,MM,9/27/06,"1499 YAMATO RD, BOCA RATON, FL 33431",Florida,Palm Beach County,United States,"1499 Yamato Rd, Boca Raton, FL 33431, USA",26.3944524,Boca Raton,-80.1167531,OK,,33431,4438,Yamato Road,1499,,26.39445:-80.11675,26.39445:-80.11675#,massage,17881,0,0
N,"SALON LOFTS GROUP, LLC",736,Out of State,lweisheimer@salonloftscorp.com,8/31/21,,39063,CLEAR,,COLUMBUS,226 N. 5TH ST.,,,OH,43215,SUITE 530,2/11/19,TAMPA,4545 WEST KENNEDY,FL,33609,,N,Massage Establishment,MM,2/11/19,"4545 WEST KENNEDY, TAMPA, FL 33609",Florida,Hillsborough County,United States,"4545 W Kennedy Blvd, Tampa, FL 33609, USA",27.9451223,Tampa,-82.5210814,OK,Westshore Palms,33609,,West Kennedy Boulevard,4545,,27.94512:-82.52108,27.94512:-82.52108#,massage,40975,0,0
N,SPA NEXT DOOR,51,MANATEE,spanextdoor@aol.com,8/31/21,,30176,CLEAR,,SARASOTA,6255 LAKE OSPREY DR,,,FL,34240,,12/12/12,SARASOTA,6255 LAKE OSPREY DR,FL,34240,,N,Massage Establishment,MM,12/12/12,"6255 LAKE OSPREY DR, SARASOTA, FL 34240",Florida,Sarasota County,United States,"6255 Lake Osprey Dr, Sarasota, FL 34240, USA",27.387246,Sarasota,-82.4448029,OK,,34240,8433,Lake Osprey Drive,6255,,27.38725:-82.44480,27.38725:-82.44480#,massage,30173,0,0
N,JTLM ENTERPRISES LLC,69,SEMINOLE,tmclain@handandstone.com,8/31/21,,31797,CLEAR,,LONGWOOD,2231 POINSETTIA DRIVE,,,FL,32779,,12/10/13,FLEMING ISLAND,5000 US HWY 17,FL,32003,SUITE 8,N,Massage Establishment,MM,12/10/13,"5000 US HWY 17, FLEMING ISLAND, FL 32003",Florida,Clay County,United States,"5000 US-17, Fleming Island, FL 32003, USA",30.103096,Fleming Island,-81.711423,OK,,32003,,U.S. 17,5000,,30.10310:-81.71142,30.10310:-81.71142#,massage,31636,0,0
N,"MIDTOWN SPA, LLC",47,LEON,midtownspa@gmail.com,8/31/21,,30701,CLEAR,850,TALLAHASSEE,15067 Sunray Rd,,668-2257,FL,32309,,4/17/13,TALLAHASSEE,215 E. 7TH AVE,FL,32303,,N,Massage Establishment,MM,4/17/13,"215 E. 7TH AVE, TALLAHASSEE, FL 32303",Florida,Leon County,United States,"215 E 7th Ave, Tallahassee, FL 32303, USA",30.4576344,Tallahassee,-84.280116,OK,,32303,,East 7th Avenue,215,,30.45763:-84.28012,30.45763:-84.28012#,massage,30694,0,0
N,CHENS MASSAGE CLINIC,47,LEON,chensmassageclinic@gmail.com,8/31/21,,32812,CLEAR,,TALLAHASSEE,5655 JACKSONS GAP RD,,,FL,32317,,8/25/14,TALLAHASSEE,1796 THOMASVILLE RD,FL,32303,,N,Massage Establishment,MM,8/25/14,"1796 THOMASVILLE RD, TALLAHASSEE, FL 32303",Florida,Leon County,United States,"1796 Thomasville Rd, Tallahassee, FL 32303, USA",30.4635303,Tallahassee,-84.2717191,OK,,32303,,Thomasville Road,1796,,30.46353:-84.27172,30.46353:-84.27172#,massage,32688,0,0
N,"Yu massage, LLC",61,PASCO,didoguozi@icloud.com,8/31/21,,37673,CLEAR,,WESLEY CHAPEL,1328 Maximilian Drive,,,FL,33543,,2/9/18,WESLEY CHAPEL,30004 county line road,FL,33543,,N,Massage Establishment,MM,2/9/18,"30004 county line road, WESLEY CHAPEL, FL 33543",Florida,Pasco County,United States,"30004 County Line Rd, Wesley Chapel, FL 33543, USA",28.1795398,Wesley Chapel,-82.320172,OK,,33543,6707,County Line Road,30004,,28.17954:-82.32017,28.17954:-82.32017#,massage,39185,0,0
N,"SALON LOFTS GROUP, LLC",736,Out of State,lwilkinsdoran@salonloftscorp.com,8/31/21,,36148,CLEAR,,COLUMBUS,226 N. 5TH ST,,,OH,43215,SUITE 530,1/12/17,TAMPA,9460 WEST LINEBAUGH AVE,FL,33626,,N,Massage Establishment,MM,1/12/17,"9460 WEST LINEBAUGH AVE, TAMPA, FL 33626",Florida,Hillsborough County,United States,"9460 W Linebaugh Ave, Westchase, FL 33626, USA",28.0434796,Westchase,-82.5905138,OK,Citrus Park Community,33626,,West Linebaugh Avenue,9460,,28.04348:-82.59051,28.04348:-82.59051#,massage,36830,0,0
N,"CP CLEARWATER, LLC",728,Out of State,kbihl@columbiasussex.com,8/31/21,,35394,CLEAR,,CRESTVIEW HILLS,740 CENTRE VIEW BLVD,,,KY,41017,,7/13/16,CLEARWATER BEACH,400 MANDALAY AVENUE,FL,33767,,N,Massage Establishment,MM,7/13/16,"400 MANDALAY AVENUE, CLEARWATER BEACH, FL 33767",Florida,Pinellas County,United States,"400 Mandalay Ave, Clearwater, FL 33767, USA",27.9788772,Clearwater,-82.8279609,OK,Clearwater Beach,33767,2011,Mandalay Avenue,400,,27.97888:-82.82796,27.97888:-82.82796#,massage,35993,0,0
N,"SALON LOFTS GROUP, LLC",736,Out of State,lwilkinsdoran@salonloftscorp.com,8/31/21,,34322,CLEAR,,COLUMBUS,226 NORTH 5TH ST.,,,OH,43215,SUITE 530,10/15/15,ST. PETERSBURG,1068 4TH ST. N.,FL,33701,,N,Massage Establishment,MM,10/15/15,"1068 4TH ST. N., ST. PETERSBURG, FL 33701",Florida,Pinellas County,United States,"1068 4th St N, St. Petersburg, FL 33701, USA",27.7833708,St. Petersburg,-82.6387431,OK,Historic Uptown,33701,1700,4th Street North,1068,,27.78337:-82.63874,27.78337:-82.63874#,massage,34667,0,0
N,"OPC Investments, LLC",74,VOLUSIA,serenehour@gmail.com,8/31/21,,39104,CLEAR,,DAYTONA BEACH,P.O.Box 265066,,,FL,32126,,2/21/19,SOUTH DAYTONA,"917 Beville Rd, Suite B",FL,32119,,N,Massage Establishment,MM,2/21/19,"917 Beville Rd, Suite B, SOUTH DAYTONA, FL 32119",Florida,Volusia County,United States,"917 Beville Rd Suite B, South Daytona, FL 32119, USA",29.176184,South Daytona,-81.024593,OK,Town Of Blake,32119,,Beville Road,917,B,29.17618:-81.02459,29.17618:-81.02459#B,massage,40914,0,0
N,SEOUL MASSAGE INC.,39,HILLSBOROUGH,turtle65@mindspring.com,8/31/21,,38483,CLEAR,,TAMPA,5202 N. SEMINOLE AVENUE,,,FL,33603,,9/4/18,TAMPA,203 S. MOODY AVENUE,FL,33609,,N,Massage Establishment,MM,9/4/18,"203 S. MOODY AVENUE, TAMPA, FL 33609",Florida,Hillsborough County,United States,"203 S Moody Ave, Tampa, FL 33609, USA",27.9430719,Tampa,-82.4842546,OK,Hyde Park,33609,3335,South Moody Avenue,203,,27.94307:-82.48425,27.94307:-82.48425#,massage,40215,0,0
N,"66ME, LLC",39,HILLSBOROUGH,steve.plattner@massageenvy.com,8/31/21,,38304,CLEAR,,TAMPA,1120 E KENNEDY BLVD,,,FL,33602,SUITE 152,7/17/18,SAINT PETERSBURG,1422 66TH STREET N,FL,33710,,N,Massage Establishment,MM,7/17/18,"1422 66TH STREET N, SAINT PETERSBURG, FL 33710",Florida,Pinellas County,United States,"1422 66th St N, St. Petersburg, FL 33710, USA",27.785439,St. Petersburg,-82.7293659,OK,Crossroads Area,33710,5504,66th Street North,1422,,27.78544:-82.72937,27.78544:-82.72937#,massage,39832,0,0
N,"HALO ASIAN SPA, INC",60,PALM BEACH,woodymclane@yahoo.com,8/31/21,,34578,CLEAR,,BOYNTON BEACH,975 WEST GATEWAY BLVD.,,,FL,33426,UNIT 105,12/7/15,BOYNTON BEACH,975 W GATEWAY BLVD,FL,33426,SUITE 105,N,Massage Establishment,MM,12/7/15,"975 W GATEWAY BLVD, BOYNTON BEACH, FL 33426",Florida,Palm Beach County,United States,"975 Gateway Blvd, Boynton Beach, FL 33426, USA",26.5514164,Boynton Beach,-80.0736165,OK,,33426,,Gateway Boulevard,975,,26.55142:-80.07362,26.55142:-80.07362#,massage,35043,0,0
N,"GENA M BOFSHEVER, DC, LLC",16,BROWARD,drbofshever@gmail.com,8/31/21,,34277,CLEAR,,PLANTATION,7119 W BROWARD BLVD,,,FL,33317,,10/8/15,PLANTATION,7119 W BROWARD BLVD,FL,33317,,N,Massage Establishment,MM,10/8/15,"7119 W BROWARD BLVD, PLANTATION, FL 33317",Florida,Broward County,United States,"7119 W Broward Blvd, Plantation, FL 33317, USA",26.1227999,Plantation,-80.2438393,OK,,33317,,West Broward Boulevard,7119,,26.12280:-80.24384,26.12280:-80.24384#,massage,34106,0,0
N,LI'S VENICE MASSAGE LLC,68,SARASOTA,ted@sound-homes.com,8/31/21,,35517,CLEAR,,VENICE,603 TANAGER RD,,,FL,34293,,8/9/16,VENICE,800 PINEBROOK RD,FL,34285,STE 820,N,Massage Establishment,MM,8/9/16,"800 PINEBROOK RD, VENICE, FL 34285",Florida,Sarasota County,United States,"800 Pinebrook Rd, Venice, FL 34285, USA",27.1007256,Venice,-82.41854,OK,,34285,7103,Pinebrook Road,800,,27.10073:-82.41854,27.10073:-82.41854#,massage,35916,0,0
N,ORIENTAL CHI INC,53,MARTIN,deyoumao@yahoo.com,8/31/21,,34589,CLEAR,,STUART,PO BOX 3029,,,FL,34995,,12/9/15,TAMPA,323 WESTSHORE PLAZA,FL,33609,SUITE BB6A,N,Massage Establishment,MM,12/9/15,"323 WESTSHORE PLAZA, TAMPA, FL 33609",Florida,Hillsborough County,United States,"323 Westshore Plaza, Tampa, FL 33609, USA",27.9454874,Tampa,-82.5271843,OK,Westshore,33609,,Westshore Plaza,323,,27.94549:-82.52718,27.94549:-82.52718#,massage,35017,0,0
N,"SUNCOAST FITNESS, INC",62,PINELLAS,csh@iamfitforlife.com,8/31/21,,32843,CLEAR,,ST PETE BEACH,575 75TH AVE,,,FL,33706,,9/11/14,SAINT PETE BEACH,575 75TH AVE,FL,33706,,N,Massage Establishment,MM,9/11/14,"575 75TH AVE, SAINT PETE BEACH, FL 33706",Florida,Pinellas County,United States,"575 75th Ave, St Pete Beach, FL 33706, USA",27.741776,St. Pete Beach,-82.7528943,OK,Corey Ave,33706,1833,75th Avenue,575,,27.74178:-82.75289,27.74178:-82.75289#,massage,32994,0,0
N,"COSMO AND FAMILY, LLC",60,PALM BEACH,nadia@cosmoandcompany.com,8/31/21,,36166,CLEAR,561,WEST PALM BEACH,2511 S. DIXIE HWY,,833-7411,FL,33401,,1/18/17,WEST PALM BEACH,2511 S. DIXIE HWY,FL,33401,,N,Massage Establishment,MM,1/18/17,"2511 S. DIXIE HWY, WEST PALM BEACH, FL 33401",Florida,Palm Beach County,United States,"2511 S Dixie Hwy, West Palm Beach, FL 33401, USA",26.6912041,West Palm Beach,-80.0545838,OK,,33401,7917,South Dixie Highway,2511,,26.69120:-80.05458,26.69120:-80.05458#,massage,36534,0,0
N,Royal Lotus LLC,16,BROWARD,lotusdayspa139@gmail.com,8/31/21,,36991,CLEAR,561,POMPANO BEACH,139 N Federal Hwy,,221-3468,FL,33062,,8/29/17,POMPANO BEACH,139 N Federal Hwy,FL,33062,,N,Massage Establishment,MM,8/29/17,"139 N Federal Hwy, POMPANO BEACH, FL 33062",Florida,Broward County,United States,"139 N Federal Hwy, Pompano Beach, FL 33062, USA",26.2334283,Pompano Beach,-80.1031176,OK,,33062,4327,North Federal Highway,139,,26.23343:-80.10312,26.23343:-80.10312#,massage,38168,0,0
N,TAMMY FENDER SKIN CARE/ PURE LABS LLC,60,PALM BEACH,accounting@tammyfender.com,8/31/21,,18108,CLEAR,561,WEST PALM BEACH,711 N. FLAGLER DR,,659-2229,FL,33401,,3/28/06,WEST PALM BEACH,711 N FLAGLER DRIVE,FL,33401,,N,Massage Establishment,MM,2/28/18,"711 N FLAGLER DRIVE, WEST PALM BEACH, FL 33401",Florida,Palm Beach County,United States,"711 N Flagler Dr, West Palm Beach, FL 33401, USA",26.7193441,West Palm Beach,-80.0501087,OK,Providencia Park,33401,4017,North Flagler Drive,711,,26.71934:-80.05011,26.71934:-80.05011#,massage,17140,0,0
N,EMF OF WINTER PARK,69,SEMINOLE,lakemary@jsterlingsalonspa.com,8/31/19,,38961,CLEAR,407,LAKE MARY,185 WAYMOUNT COURT,,961-8457,FL,32746,,1/21/19,LAKE MARY,185 WAYMOUNT COURT,FL,32746,,N,Massage Establishment,MM,1/21/19,"185 WAYMOUNT COURT, LAKE MARY, FL 32746",Florida,Seminole County,United States,"185 Waymont Ct, Lake Mary, FL 32746, USA",28.7549434,Lake Mary,-81.3391035,OK,,32746,6700,Waymont Court,185,,28.75494:-81.33910,28.75494:-81.33910#,massage,40761,0,0
N,joy feet & body massage inc,21,COLLIER,joyfeetspa@gmail.com,8/31/21,,37959,CLEAR,239,NAPLES,2095 Pine Ridge Rd,,298-9945,FL,34109,,4/24/18,NAPLES,2095 Pine Ridge Rd,FL,34109,,N,Massage Establishment,MM,4/24/18,"2095 Pine Ridge Rd, NAPLES, FL 34109",Florida,Collier County,United States,"2095 Pine Ridge Rd, Naples, FL 34109, USA",26.2119328,Naples,-81.7765466,OK,,34109,,Pine Ridge Road,2095,,26.21193:-81.77655,26.21193:-81.77655#,massage,39501,0,0
N,True MD LLC,63,POLK,lisa@truemedspalakeland.com,8/31/19,,38841,CLEAR,863,LAKELAND,4935 Southfork Dr,,412-2983,FL,33813,,12/10/18,LAKELAND,4935 Southfork Dr,FL,33813,,N,Massage Establishment,MM,12/10/18,"4935 Southfork Dr, LAKELAND, FL 33813",Florida,Polk County,United States,"4935 Southfork Dr, Lakeland, FL 33813, USA",27.9757548,Lakeland,-81.9621767,OK,,33813,2000,Southfork Drive,4935,,27.97575:-81.96218,27.97575:-81.96218#,massage,40732,0,0
N,Vanessa Luongo,62,PINELLAS,vanessaluongo@yahoo.com,8/31/21,,39536,CLEAR,813,CLEARWATER,3037 Crest Drive,,477-6472,FL,33759,,6/12/19,PALM HARBOR,32815 US HWY 19 N,FL,34684,,N,Massage Establishment,MM,6/12/19,"32815 US HWY 19 N, PALM HARBOR, FL 34684",Florida,Pinellas County,United States,"32815 US Hwy 19 N, Palm Harbor, FL 34684, USA",28.0703308,Palm Harbor,-82.7380077,OK,,34684,3123,US Highway 19 North,32815,,28.07033:-82.73801,28.07033:-82.73801#,massage,41473,0,0
N,DVAV CORP,58,ORANGE,abgoodtime@gmail.com,8/31/21,,39559,CLEAR,407,ORLANDO,7858 Turkey Lake Rd,,286-4795,FL,32819,suite 232A,6/19/19,ORLANDO,7858 Turkey Lake Rd,FL,32819,suite 232A,N,Massage Establishment,MM,6/19/19,"7858 Turkey Lake Rd, ORLANDO, FL 32819",Florida,Orange County,United States,"7858 Turkey Lake Rd, Orlando, FL 32819, USA",28.4512312,Orlando,-81.4781444,OK,,32819,,Turkey Lake Road,7858,,28.45123:-81.47814,28.45123:-81.47814#,massage,41467,0,0
N,"FLAMINGO BROTHERS, INC",26,DUVAL,flambro@att.net,8/31/21,,37159,CLEAR,,ATLANTIC BEACH,469 ATLANTIC BLVD,,,FL,32233,SUITE #10,10/10/17,ATLANTIC BEACH,469 ATLANTIC BLVD,FL,32233,SUITE #10,N,Massage Establishment,MM,10/10/17,"469 ATLANTIC BLVD, ATLANTIC BEACH, FL 32233",Florida,Duval County,United States,"469 Atlantic Blvd, Atlantic Beach, FL 32233, USA",30.3250639,Atlantic Beach,-81.4017538,OK,Beaches,32233,4051,Atlantic Boulevard,469,,30.32506:-81.40175,30.32506:-81.40175#,massage,38633,0,0
N,TOKYO MASSAGE,16,BROWARD,clcdream888@gmail.com,8/31/21,,33068,CLEAR,,COOPER CITY,8608 GRIFFIN RD,,,FL,33328,,11/12/14,COOPER CITY,8608 GRIFFIN ROAD,FL,33328,,N,Massage Establishment,MM,11/12/14,"8608 GRIFFIN ROAD, COOPER CITY, FL 33328",Florida,Broward County,United States,"8608 Griffin Rd, Cooper City, FL 33328, USA",26.0636657,Cooper City,-80.2608592,OK,,33328,,Griffin Road,8608,,26.06367:-80.26086,26.06367:-80.26086#,massage,33086,0,0
N,GOLDEN ASIAN MASSAGE,21,COLLIER,lidong0621@yahoo.com,8/31/21,,34200,CLEAR,,NAPLES,441 QUAIL FOREST BLVD,,,FL,34105,APT.408,9/29/15,WINTER GARDEN,1218 WINTER GARDEN VINELAND RD,FL,34787,SUITE 124,N,Massage Establishment,MM,9/29/15,"1218 WINTER GARDEN VINELAND RD, WINTER GARDEN, FL 34787",Florida,Orange County,United States,"108, 1218 Winter Garden Vineland Rd, Winter Garden, FL 34787, USA",28.5484579,Winter Garden,-81.5881531,OK,,34787,,Winter Garden Vineland Road,1218,,28.54846:-81.58815,28.54846:-81.58815#,massage,34478,0,0
N,ELEVATED MASSAGE AND WELLNESS,62,PINELLAS,teresac.lmt@gmail.com,8/31/21,,39539,CLEAR,,SAINT PETERSBURG,4151 NEPTUNE DR SE,,,FL,33705,,6/12/19,SAINT PETERSBURG,1210 16TH ST N,FL,33705,,N,Massage Establishment,MM,6/12/19,"1210 16TH ST N, SAINT PETERSBURG, FL 33705",Florida,Pinellas County,United States,"1210 16th St N, St. Petersburg, FL 33705, USA",27.7841452,St. Petersburg,-82.6552427,OK,,33705,1033,16th Street North,1210,,27.78415:-82.65524,27.78415:-82.65524#,massage,41425,0,0
N,CRISTOBAL'S MASSAGE AND THERAPY,68,SARASOTA,chris@cristobalsmassage.com,8/31/21,,19679,CLEAR,,SARASOTA,P O BOX 5956,,,FL,34277,,4/23/07,SARASOTA,11 SOUTH BLVD OF PRESIDENTS,FL,34236,STE 3,N,Massage Establishment,MM,4/23/07,"11 SOUTH BLVD OF PRESIDENTS, SARASOTA, FL 34236",Florida,Sarasota County,United States,"11 S Boulevard of the Presidents, Sarasota, FL 34236, USA",27.3177909,Sarasota,-82.5763376,OK,St. Armands,34236,,South Boulevard of the Presidents,11,,27.31779:-82.57634,27.31779:-82.57634#,massage,18881,0,0
N,"MASSAGES WITH PURPOSE, INC.",15,BREVARD,gtaylor@massageswithpurpose.com,8/31/21,,35261,CLEAR,,WEST MELBOURNE,P.O. BOX 120640,,,FL,32912,,5/27/16,WEST MELBOURNE,2070 MEADOWLANE AVENUE,FL,32904,,N,Massage Establishment,MM,5/27/16,"2070 MEADOWLANE AVENUE, WEST MELBOURNE, FL 32904",Florida,Brevard County,United States,"2070 Meadowlane Ave, Melbourne, FL 32904, USA",28.0774476,Melbourne,-80.6708854,OK,Mintons Corners,32904,4950,Meadowlane Avenue,2070,,28.07745:-80.67089,28.07745:-80.67089#,massage,35786,0,0
N,"JOSEPHINES SALON AND DAY SPA, INC.",68,SARASOTA,josephine@josephinessalon.com,8/31/21,,34106,CLEAR,,ENGLEWOOD,628 N. INDIANA AVENUE,,,FL,34223,,8/31/15,ENGLEWOOD,628 N. INDIANA AVENUE,FL,34223,,N,Massage Establishment,MM,8/31/15,"628 N. INDIANA AVENUE, ENGLEWOOD, FL 34223",Florida,Sarasota County,United States,"628 N Indiana Ave, Englewood, FL 34223, USA",26.9732414,Englewood,-82.3547996,OK,,34223,2728,North Indiana Avenue,628,,26.97324:-82.35480,26.97324:-82.35480#,massage,34502,0,0
N,"REKA KOZMETIKA, INC.",58,ORANGE,tresornola@gmail.com,8/31/21,,39390,CLEAR,,WINTER PARK,1841 W FAIRBANKS AVE.,,,FL,32789,,5/6/19,WINTER PARK,1841 W FAIRBANKS AVE.,FL,32789,,N,Massage Establishment,MM,5/6/19,"1841 W FAIRBANKS AVE., WINTER PARK, FL 32789",Florida,Orange County,United States,"1841 W Fairbanks Ave, Winter Park, FL 32789, USA",28.5933865,Winter Park,-81.3740754,OK,,32789,4577,West Fairbanks Avenue,1841,,28.59339:-81.37408,28.59339:-81.37408#,massage,41372,0,0
N,Taynel personal care inc,39,HILLSBOROUGH,tania@bypia.com,8/31/21,,39316,CLEAR,,WIMAUMA,10824 kirkwall port dr,,,FL,33598,,4/17/19,SAFETY HARBOR,108 4th Avenue  S,FL,34695,,N,Massage Establishment,MM,4/17/19,"108 4th Avenue  S, SAFETY HARBOR, FL 34695",Florida,Pinellas County,United States,"108 4th Ave S, Safety Harbor, FL 34695, USA",27.9905477,Safety Harbor,-82.6913953,OK,,34695,4020,4th Avenue South,108,,27.99055:-82.69140,27.99055:-82.69140#,massage,41136,0,0
N,"JENNA WILKINS, LMT",69,SEMINOLE,jennawilkins@live.com,8/31/19,,34805,CLEAR,,SANFORD,1790 Astor Farms Place,,,FL,32771,,1/28/16,MAITLAND,670 North Orlando Avenue,FL,32751,Suite 100,N,Massage Establishment,MM,1/28/16,"670 North Orlando Avenue, MAITLAND, FL 32751",Florida,Orange County,United States,"670 North Orlando Avenue, Maitland, FL 32751, USA",28.6323642,Maitland,-81.3619659,OK,,32751,,North Orlando Avenue,670,,28.63236:-81.36197,28.63236:-81.36197#,massage,35234,0,0
N,Health and Wellness of Central Florida,37,HERNANDO,bmartinezdc@gmai.com,8/31/21,,38552,CLEAR,,SPRING HILL,3460 Mariner Blvd,,,FL,34609,,9/20/18,SPRING HILL,3460 Mariner Blvd,FL,34609,,N,Massage Establishment,MM,9/20/18,"3460 Mariner Blvd, SPRING HILL, FL 34609",Florida,Hernando County,United States,"3460 Mariner Blvd, Spring Hill, FL 34609, USA",28.486395,Spring Hill,-82.543079,OK,,34609,2462,Mariner Boulevard,3460,,28.48640:-82.54308,28.48640:-82.54308#,massage,40339,0,0
N,FLORIDA WELLNESS & REHAB PA,39,HILLSBOROUGH,info@flwell.com,8/31/21,,39268,CLEAR,,TAMPA,4104 W. LINEBAUGH AVE,,,FL,33624,,4/3/19,TAMPA,4104 W. LINEBAUGH AVE,FL,33624,,N,Massage Establishment,MM,4/3/19,"4104 W. LINEBAUGH AVE, TAMPA, FL 33624",Florida,Hillsborough County,United States,"4104 W Linebaugh Ave, Tampa, FL 33624, USA",28.0396706,Tampa,-82.5115438,OK,,33624,,West Linebaugh Avenue,4104,,28.03967:-82.51154,28.03967:-82.51154#,massage,39828,0,0
N,SALONZ MIRAMAR LLC,16,BROWARD,info@salonzbeautysuites.com,8/31/21,,37137,CLEAR,,FORT LAUDERDALE,PO BOX 327351,,,FL,33332,,10/4/17,MIRAMAR,11611 CITY HALL PROMENADE,FL,33025,,N,Massage Establishment,MM,10/4/17,"11611 CITY HALL PROMENADE, MIRAMAR, FL 33025",Florida,Broward County,United States,"11611 City Hall Promenade, Miramar, FL 33025, USA",25.985989,Miramar,-80.2989811,OK,,33025,,City Hall Promenade,11611,,25.98599:-80.29898,25.98599:-80.29898#,massage,37909,0,0
N,PANACEA NATUROPATHIC LLC,56,OKALOOSA,mirandahuepers@panaceanaturopathic.com,8/31/21,,39491,CLEAR,,FORT WALTON BEACH,408 GREEN ACRES RD,,,FL,32547,,6/3/19,FORT WALTON BEACH,348 MIRACLE STRIP PKWY SW,FL,32548,SUITE 23,N,Massage Establishment,MM,6/3/19,"348 MIRACLE STRIP PKWY SW, FORT WALTON BEACH, FL 32548",Florida,Okaloosa County,United States,"348 Miracle Strip Pkwy SW, Mary Esther, FL 32569, USA",30.4066219,Mary Esther,-86.6389043,OK,,32569,,Miracle Strip Parkway Southwest,348,,30.40662:-86.63890,30.40662:-86.63890#,massage,41474,0,0
N,ANGEL BEAUTY & HEALTH LLC,,,,8/31/19,,39152,CLEAR,,BOYNTON BEACH,4956 LE CHALET BLVD,,,FL,33467,#15,3/4/19,BOYNTON BEACH,4956 Le Chalet Blvd,FL,33436,#15,N,Massage Establishment,MM,3/4/19,"4956 Le Chalet Blvd, BOYNTON BEACH, FL 33436",Florida,Palm Beach County,United States,"4956 Le Chalet Blvd, Boynton Beach, FL 33436, USA",26.5536423,Boynton Beach,-80.1211799,OK,,33436,,Le Chalet Boulevard,4956,,26.55364:-80.12118,26.55364:-80.12118#,massage,40972,0,0
