Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
EAGLE CREEK MASSAGE THERAPY LLC,604 296 486,WA LIMITED LIABILITY COMPANY,"605 E MORTON ST, TACOMA, WA, 98404-2159, UNITED STATES",PATRICIA LEWISSMITH,Delinquent
EARTH ANGEL MASSAGE THERAPY LLC,604 392 633,WA LIMITED LIABILITY COMPANY,"514 E PROVIDENCE AVE, SPOKANE, WA, 99207-1874, UNITED STATES",RACHEL ROBLES,Active
EARTHLIGHT MASSAGE  L.L.C.,604 152 522,WA LIMITED LIABILITY COMPANY,"115 OREGON AVE S, LONG BEACH, WA, 98631, UNITED STATES",TERRALAR LEE,Delinquent
EASE ANIMAL MASSAGE SERVICES LLC,604 289 480,WA LIMITED LIABILITY COMPANY,"7706 LOWER RIDGE RD, EVERETT, WA, 98203-6362, UNITED STATES","UNITED STATES  CORPORATION AGENTS, INC",Voluntarily Dissolved
EAST HILL THERAPEUTIC MASSAGE LLC,603 363 080,WA LIMITED LIABILITY COMPANY,"1212 E CHICAGO ST, KENT, WA, 98030, UNITED STATES",JUDY VISSER,Voluntarily Dissolved
"EAST VALLEY CLINICAL MASSAGE AND TANNING, LLC",602 172 484,WA LIMITED LIABILITY COMPANY,"4304 N MURRAY DR, OTIS ORCHARDS, WA, 99027-9785, UNITED STATES",PAMELA A MERCER,Active
"EAST VANCOUVER CHIROPRACTIC & MASSAGE THERAPY, INC",602 755 023,WA PROFIT CORPORATION,"1937 NW 32ND CIRCLE, CAMAS, WA, 98607, UNITED STATES",NICHOLAS PECK,Administratively Dissolved
EAST WEST MASSAGE L.L.C.,603 205 575,WA LIMITED LIABILITY COMPANY,"661 S JACKSON, SEATTLE, WA, 98104, UNITED STATES",ZHUANGHE,Administratively Dissolved
EAST WEST MASSAGE SPA CORP.,603 341 728,WA PROFIT CORPORATION,"101 N ARGONNE RD STE F, SPOKANE VLY, WA, 99212-2833, UNITED STATES",HYDE WONG,Active
EASTERN ELEMENTS ACUPUNCTURE AND MASSAGE PLLC,602 683 989,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1418 MLK JR WAY, SEATTLE, WA, 98122, UNITED STATES",HAYDN  ENGELKE,Inactive
EASTERN SILK MASSAGE LLC,604 290 795,WA LIMITED LIABILITY COMPANY,"9608 S 236TH PL, KENT, WA, 98031-4700, UNITED STATES",SHIMEI CAO,Delinquent
"EASTHILL MASSAGE CLINIC, LLC",602 406 345,WA LIMITED LIABILITY COMPANY,"10830 KENT KANGLEY RD, SUITE 100-B, KENT, WA, 98031, UNITED STATES",DAVID R. BREHM,Inactive
"EASTSIDE ESCAPE MASSAGE & WELLNESS CENTER, LLC",604 463 529,WA LIMITED LIABILITY COMPANY,"14123 81ST PL NE, KIRKLAND, WA, 98034-5077, UNITED STATES",UNITED STATES  CORPORATION AGENTS INC,Active
EASTSIDE MARVELOUS MASSAGE P.L.L.C.,602 622 711,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"EASTSIDE MARVELOUS MASSAGE THERAPY, P.L.L.C.",602 622 692,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"EASTSIDE MASSAGE CLINIC, INC.",602 211 685,WA PROFIT CORPORATION,,LYNN A DALTON,Inactive
"EASTSIDE MASSAGE CLINIC, INC.",603 565 821,WA PROFIT CORPORATION,"1130 140TH AVE NE, SUITE 300, BELLEVUE, WA, 98005-2974, UNITED STATES",LYNN DALTON,Active
"EASTSIDE REHAB & WELLNESS MASSAGE, INC.",602 316 259,WA PROFIT CORPORATION,,JASON M CRAIG,Inactive
"EBB AND FLOW OF MASSAGE, INC.",602 441 843,WA PROFIT CORPORATION,"6850 35TH AVE NE STE 7, SEATTLE, WA, 98115-7344, UNITED STATES",BRIAN CHESTNUT,Active
EBONY AND IVORY WELLNESS MASSAGE LLC,604 218 419,WA LIMITED LIABILITY COMPANY,"170 S LINCOLN ST STE 100, SPOKANE, WA, 99201-4443, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Administratively Dissolved
ECHOES THERAPEUTIC MASSAGE LLC,604 521 350,WA LIMITED LIABILITY COMPANY,"2816 E 16TH AVE, SPOKANE, WA, 99223, UNITED STATES",JILL BRECHT,Active
ECRU MASSAGE LLC,604 126 669,WA LIMITED LIABILITY COMPANY,"201 W RIVERSIDE AVE STE 202, SPOKANE, WA, 99201-3635, UNITED STATES",LILI MACKIN,Voluntarily Dissolved
EDGE INTEGRATED MASSAGE INC,603 459 122,WA PROFIT CORPORATION,"9212 EVERGREEN WAY, EVERETT, WA, 98208, UNITED STATES",BRIAN EDGE,Administratively Dissolved
"EDMONDS MASSAGE CENTER, INC.",602 546 802,WA PROFIT CORPORATION,"6603 220TH ST SW STE 1C, MOUNTLAKE TERRACE, WA, 98043, UNITED STATES",JARRETT KOZELISKY,Administratively Dissolved
"EDMONDS MASSAGE CENTER, LLC",602 206 196,WA LIMITED LIABILITY COMPANY,,KELLY KOZELISKY,Inactive
EDUCATED HANDS MASSAGE LLC,603 347 689,WA LIMITED LIABILITY COMPANY,"1621 WOBURN ST, BELLINGHAM, WA, 98229, UNITED STATES",EDUCATED HANDS MASSAGE LLC,Active
EIDOLON MASSAGE LLC,601 976 877,WA LIMITED LIABILITY COMPANY,,DARBY MCDONALD,Inactive
ELAINE BRIAN'S THERAPEUTIC MASSAGE L.L.C.,602 474 174,WA LIMITED LIABILITY COMPANY,"11699 RIDGE RIM TRAIL SE, PORT ORCHARD, WA, 98367, UNITED STATES",LYNETTE E. JOHNSON,Inactive
"ELEMENTAL MASSAGE NW, LLC",604 129 804,WA LIMITED LIABILITY COMPANY,"1210 10TH ST STE 201, BELLINGHAM, WA, 98225-7063, UNITED STATES",SHANNON M DICKSON,Active
"ELEMENTAL MASSAGE THERAPY, INC.",602 921 230,,,,
ELEVATE MASSAGE THERAPY LLC,604 250 493,WA LIMITED LIABILITY COMPANY,"15220 SE 272ND ST STE D, KENT, WA, 98042-4241, UNITED STATES",LEGALINC CORPORATE SERVICES INC.,Administratively Dissolved
ELEVATION MASSAGE LLC,604 198 736,WA LIMITED LIABILITY COMPANY,"17335 CADDIS LN SW, ROCHESTER, WA, 98579-8697, UNITED STATES",CHELSEA HICKS,Active
ELEVATION MASSAGE THERAPY LLC,604 425 089,WA LIMITED LIABILITY COMPANY,"4009 BRIDGEPORT WAY W STE E-7, UNIVERSITY PL, WA, 98466-4326, UNITED STATES",CLIFFORD LEICHLEITER,Active
ELITE CHIROPRACTIC AND MASSAGE PLLC,603 164 484,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8131 W KLAMATH CT, SUITE H, KENNEWICK, WA, 99336-5251, UNITED STATES",KAREN HOLT,Active
ELITE MASSAGE EDUCATION LLC,604 388 459,WA LIMITED LIABILITY COMPANY,"4009 BRIDGEPORT WAY W STE E-2, UNIVERSITY PL, WA, 98466-4326, UNITED STATES",ELITE MASSAGE EDUCATION LLC,Active
ELITE MASSAGE PROFESSIONALS L.L.C.,602 925 198,WA LIMITED LIABILITY COMPANY,"19513 SE 265TH ST, COVINGTON, WA, 98042, UNITED STATES",TRACINA M NAVARRO,Inactive
ELITE TOUCH MASSAGE LLC,604 041 651,WA LIMITED LIABILITY COMPANY,"625 BLACK LAKE BLVD SW STE 261, OLYMPIA, WA, 98502, UNITED STATES",SONGSHAN MA,Administratively Dissolved
"ELITE TOUCH MASSAGE THERAPEUTICS, LLC",603 153 767,WA LIMITED LIABILITY COMPANY,"260 NORTH OAK STREET, COLVILLE, WA, 99114, UNITED STATES",AMY HOLBERT,Administratively Dissolved
"ELIXIR BODYWORK & MASSAGE, LLC",602 623 301,WA LIMITED LIABILITY COMPANY,"6743 14TH AVE NW, #1, SEATTLE, WA, 98117, UNITED STATES",KATHERINE OAK,Inactive
ELLE'S MASSAGE INC,604 397 496,WA PROFIT CORPORATION,"1339 COMMERCE AVE STE 305, LONGVIEW, WA, 98632-3750, UNITED STATES",ELLY BEACH,Active
ELLEN'S ENLIVEN MASSAGE CORPORATION,603 578 510,WA PROFIT CORPORATION,"1123 5TH AVE S., APT. 10, EDMONDS, WA, 98020, UNITED STATES",ELLEN'S ENLIVEN MASSAGE CORPORATION,Active
ELLEN'S ENLIVEN MASSAGE INC.,603 120 608,WA PROFIT CORPORATION,"6731 27TH AVE NW, SEATTLE, WA, 98117, UNITED STATES",ELLEN KAANDORP,Administratively Dissolved
ELLEN'S ENLIVEN MASSAGE LLC,603 257 254,WA LIMITED LIABILITY COMPANY,,ELLEN KAANDORP,Administratively Dissolved
ELLEN'S MASSAGE THERAPY LLC,603 327 629,WA LIMITED LIABILITY COMPANY,"280 E MARISA PL, SHELTON, WA, 98584, UNITED STATES",LEORA E SEARS,Administratively Dissolved
ELLENSBURG TOWN & COUNTRY MASSAGE LLC,603 467 827,WA LIMITED LIABILITY COMPANY,"2003 N WALNUT ST #1218, ELLENSBURG, WA, 98926, UNITED STATES",DEANNA BRADY,Administratively Dissolved
ELYSIAN MOBILE MASSAGE LLC,604 129 003,WA LIMITED LIABILITY COMPANY,"490 E BAY HEIGHTS DR, ALLYN, WA, 98524-8726, UNITED STATES",KAYLA KOOKER,Active
EMASSAGE LLC,603 045 587,WA LIMITED LIABILITY COMPANY,"117 E LOUISA ST. #449, SEATTLE, WA, 98102, UNITED STATES",MEAGAN HOLUB,Inactive
"EMERALD EQUINE MASSAGE THERAPY, LLC",604 020 858,WA LIMITED LIABILITY COMPANY,"3944 153RD AVE SE, BELLEVUE, WA, 98006, UNITED STATES",KARA O'LAUGHLIN,Active
EMERALD MASSAGE LLC,604 096 101,WA LIMITED LIABILITY COMPANY,"11419 19TH AVE SE STE B-102, EVERETT, WA, 98208, UNITED STATES",LILI ZHOU,Active
EMERALD THERAPEUTIC MASSAGE LLC,603 418 370,WA LIMITED LIABILITY COMPANY,,SUZANNA DOAN,Administratively Dissolved
"ENDEAVOR EQUINE MASSAGE, LLC",602 785 572,WA LIMITED LIABILITY COMPANY,"1432 SE FENTON RD, PORT ORCHARD, WA, 98367, UNITED STATES",MOLLY BRENNAN,Administratively Dissolved
ENDURANCE MASSAGE LLC,602 920 103,WA LIMITED LIABILITY COMPANY,"6908 N FOXWOOD CT, SPOKANE, WA, 99208, UNITED STATES",ERIC BELANGER,Administratively Dissolved
"ENHANCED LIFE MASSAGE, LLC",603 478 659,WA LIMITED LIABILITY COMPANY,"20714 HWY 305 STE 1F, POULSBO, WA, 98370, UNITED STATES",HANNAH LISTLE,Administratively Dissolved
ENJOY MASSAGE LLC,603 412 357,WA LIMITED LIABILITY COMPANY,"223 AUBURN WAY N, AUBURN, WA, 98002, UNITED STATES",CHOU ACCOUNTING AND TAX SERVICES,Active
ENROUTE MASSAGE & SPA LLC,602 392 954,WA LIMITED LIABILITY COMPANY,"12517 NUTHATCH DR NW, GIG HARBOR, WA, 98332-8818, UNITED STATES",KATHRYN GIFT,Active
ENSO MASSAGE & WELLNESS STUDIO LLC,603 577 078,WA LIMITED LIABILITY COMPANY,"2503 RACQUET LN, YAKIMA, WA, 98902, UNITED STATES",ENSO MASSAGE & WELLNESS STUDIO LLC,Active
ENUMCLAW THERAPEUTIC MASSAGE LLC,604 357 586,WA LIMITED LIABILITY COMPANY,"1724 COLE ST STE 11, ENUMCLAW, WA, 98022-3554, UNITED STATES",JESSICA FRAZEE,Active
ENVISAGE MASSAGE & WELLNESS LLC,603 484 387,WA LIMITED LIABILITY COMPANY,"5515 STEILACOOM BLVD SW #103, LAKEWOOD, WA, 98499, UNITED STATES",DENNIS JONES,Administratively Dissolved
EOS MASSAGES & COMPANY INC.,604 144 337,WA PROFIT CORPORATION,"301 PUYALLUP AVE STE C, TACOMA, WA, 98421-1307, UNITED STATES",ANDREA SULUSI,Delinquent
EPONABUS MASSAGE & REFLEXOLOGY PLLC,604 346 454,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6622 239TH AVE E, BUCKLEY, WA, 98321-9422, UNITED STATES",LINDA BUCHER,Active
EQUINE SPORT MASSAGE BY STEPHANIE VONMOOS LLC,604 016 839,WA LIMITED LIABILITY COMPANY,"135 KEL DR, CHEHALIS, WA, 98532, UNITED STATES",STEPHANIE VONMOOS,Administratively Dissolved
EQUINOX MASSAGE LLC,604 336 933,WA LIMITED LIABILITY COMPANY,"20456 HILL CREEK LN, MOUNT VERNON, WA, 98274-7644, UNITED STATES",EQUINOX MASSAGE LLC,Delinquent
EQUIPOISE MASSAGE THERAPY LLC,604 185 716,WA LIMITED LIABILITY COMPANY,"12911 7TH ST NE, LAKE STEVENS, WA, 98258, UNITED STATES",SABRINA BARRERA,Active
"ESSENTIAL BODY WELLNESS - THERAPEUTIC MASSAGE, PLLC",603 118 976,WA LIMITED LIABILITY COMPANY,"7018 NE BOTHELL WAY, SUITE A, KENMORE, WA, 98028, UNITED STATES",LEAH WENDEL-TARABOCHIA,Administratively Dissolved
"ESSENTIAL ELEMENTS MASSAGE & SPA, LLC",602 713 875,WA LIMITED LIABILITY COMPANY,,KENNETH KING,Inactive
"ESSENTIAL FOOT & BODY MASSAGE, LLC",604 028 820,WA LIMITED LIABILITY COMPANY,"13923 PACIFIC AVE S, TACOMA, WA, 98444, UNITED STATES",DALE WHITE,Active
ESSENTIAL FOOT MASSAGE LLC,604 256 295,WA LIMITED LIABILITY COMPANY,"31501 PACIFIC HWY S, FEDERAL WAY, WA, 98003-5405, UNITED STATES",ESSENTIAL FOOT MASSAGE LLC,Active
"ESSENTIAL HEALTH MASSAGE AND WELLNESS CENTER, INC.",602 178 537,WA PROFIT CORPORATION,"904 E CHESTNUT ST., BELLINGHAM, WA, 98225, UNITED STATES",JOHN HEINEMANN,Administratively Dissolved
"ESSENTIAL MASSAGE AND BODYWORK, LLC",603 545 992,WA LIMITED LIABILITY COMPANY,"1863 MAIN ST STE 101, FERNDALE, WA, 98248-2362, UNITED STATES",SARA CHAMBERLIN,Active
ESSENTIAL MASSAGE LLC,603 128 502,WA LIMITED LIABILITY COMPANY,"2728 E 31ST SPOKANE, SPOKANE, WA, 99223, UNITED STATES",DIANNA KHAM,Active
ESSENTIAL MASSAGE WW LLC,604 327 226,WA LIMITED LIABILITY COMPANY,"2570 WILLIAMS RD, WALLA WALLA, WA, 99362-8715, UNITED STATES",JANA LESLIE,Active
"ESSENTIAL MASSAGE, INC., P.S.",602 316 753,WA PROFIT CORPORATION,,ALAN SCHLIMMER,Inactive
"ESSENTIAL TOUCH MASSAGE, LLC",602 608 344,WA LIMITED LIABILITY COMPANY,"16805 106TH AVENUE SE, RENTON, WA, 98055, UNITED STATES",KAREN WESTWOOD,Inactive
ESSENTIALS THERAPEUTIC MASSAGE LLC,603 309 534,WA LIMITED LIABILITY COMPANY,"205 APPLE ACRES ROAD, CHELAN, WA, 98816, UNITED STATES",KAYLIN  WHITLAM,Administratively Dissolved
"ETERNALLY BALANCED THERAPEUTIC MASSAGE, P.L.L.C.",603 039 678,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"18949 108TH AVENUE NE, BOTHELL, WA, 98011, UNITED STATES",EVELYN PRILL,Administratively Dissolved
ETRE BIEN MASSAGE LLC,604 049 218,WA LIMITED LIABILITY COMPANY,"3401 EVANSTON AVE N, SUITE A, SEATTLE, WA, 98103, UNITED STATES",MIREILLE SEMA,Active
EULA MARIE HAGENPROFESSIONAL THERAPEUTIC MASSAGE LLC,604 314 963,WA LIMITED LIABILITY COMPANY,"1337 GEORGE WASHINGTON WAY SUITE B, RICHLAND, WA, 99354, UNITED STATES",EULA HAGEN,Delinquent
EUPHORIA MASSAGE LLC,602 836 427,WA LIMITED LIABILITY COMPANY,"4533 35TH AVE SOUTH, SEATTLE, WA, 98118, UNITED STATES",LIONEL HUTCHINSON,Inactive
EUROPEAN SPORT MASSAGE AND INJURY TREATMENT LLC,602 233 148,WA LIMITED LIABILITY COMPANY,,ROBERT ROGOZ,Inactive
"EUROPEAN THERAPEUTIC MASSAGE, LLC",603 059 269,WA LIMITED LIABILITY COMPANY,"11705 2ND DR SE # B, EVERETT, WA, 98208-4908, UNITED STATES",TATYANA SAPOZHNIKOVA,Active
"EVA'S CHINESE MASSAGE, LLC",604 183 820,WA LIMITED LIABILITY COMPANY,"1430E E ISAACS AVE, WALLA WALLA, WA, 99362-2154, UNITED STATES",XIUZHEN SHI,Active
EVERCARE MASSAGE THERAPY LLC,603 144 623,WA LIMITED LIABILITY COMPANY,"2709 E MAIN, PUYALLUP, WA, 98372-3165, UNITED STATES",JACKIE BENNETT,Delinquent
EVERETT MASSAGE CLINIC  PLLC,603 054 461,WA LIMITED LIABILITY COMPANY,,WILLOW RADFORD,Administratively Dissolved
"EVERETT THERAPEUTIC MASSAGE, LLC",602 938 773,WA LIMITED LIABILITY COMPANY,"2804 GRAND AVE STE 309, EVERETT, WA, 98201-3586, UNITED STATES",KERRI ROBINSON,Active
EVERGREEN MASSAGE & WELLNESS LLC,604 166 811,WA LIMITED LIABILITY COMPANY,"6808 220TH STREET SW, STE 203, MOUNTLAKE TERRACE, WA, 98043-2187, UNITED STATES",JESSIE SOUTHWICK,Active
"EVERGREEN MASSAGE CLINIC, P.L.L.C.",602 624 166,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"20304 LOCUST WAY, LYNNWOOD, WA, 98036-7126, UNITED STATES",CARRIE ROBLES,Active
EVERGREEN MASSAGE LLC,604 369 308,WA LIMITED LIABILITY COMPANY,"12316 239TH AVE E, BUCKLEY, WA, 98321-9398, UNITED STATES",RACHEL AAZLOR,Active
"EVERGREEN MASSAGE THERAPY, PS",602 369 407,WA PROFESSIONAL SERVICE CORPORATION,"13111 SE 279TH PL, KENT, WA, 98030, UNITED STATES",TERI GREEN,Active
"EVERGREEN MASSAGE, INC.",602 534 903,WA PROFIT CORPORATION,"32425 2ND PLACE S #102, FEDERAL WAY, WA, 98003, UNITED STATES",CATHERINE ALLIS,Inactive
"EVERGREEN MOBILE MASSAGE & WELLNESS, LLC",604 173 573,WA LIMITED LIABILITY COMPANY,"15501 E. SCRIBNER RD., SPOKANE, WA, 99217, UNITED STATES",SAMANTHA JO PACE,Active
EVERSON MASSAGE THERAPY INC,603 036 004,WA PROFIT CORPORATION,"111 E MAIN ST, EVERSON, WA, 98247, UNITED STATES",SCOTT ELLIOTT,Administratively Dissolved
"EVERY BODY NEEDS BALANCE MASSAGE & WELLNESS, LLC",604 095 311,WA LIMITED LIABILITY COMPANY,"5002 113TH AVE CT E, EDGEWOOD, WA, 98372, UNITED STATES",SHANNON GARRETT,Active
EVOLVE MASSAGE & WELLNESS STUDIO LLC,603 127 853,WA LIMITED LIABILITY COMPANY,"412 S. 12TH AVE, YAKIMA, WA, 98902, UNITED STATES",JEANNIEN LOPEZ,Administratively Dissolved
"EXCELLENCE IN INJURY REHABILITATION MASSAGE, INC.",603 360 712,WA PROFIT CORPORATION,"5849 TACOMA MALL BLVD, SUITE C, TACOMA, WA, 98409-6905, UNITED STATES",JOEL VRANNA,Active
EXPERIENCE PARADISE MASSAGE LLC,604 353 698,WA LIMITED LIABILITY COMPANY,"170 S LINCOLN ST STE 150, SPOKANE, WA, 99201-4443, UNITED STATES",REGISTERED AGENTS INC.,Active
"EXPERIENCE RELIEF MASSAGE, LLC",602 847 670,WA LIMITED LIABILITY COMPANY,"5512 NE 109TH CT STE K, VANCOUVER, WA, 98662, UNITED STATES",KINDRA BOYLE,Administratively Dissolved
"EXPERIENCED MASSAGE 128, LLC",604 340 597,WA LIMITED LIABILITY COMPANY,"22627 BOTHELL EVERETT HWY STE D-E, BOTHELL, WA, 98021-8499, UNITED STATES",JENNA MARCH,Active
"FAIRWOOD MASSAGE THERAPY, LLC",602 466 292,WA LIMITED LIABILITY COMPANY,"18635 175 AVE SE, RENTON, WA, 98058, UNITED STATES",SARA J DEN HERDER,Administratively Dissolved
"FAITH, HOPE, LOVE MASSAGE LLC",604 159 062,WA LIMITED LIABILITY COMPANY,"12021 PURPLE PENNANT RD, LAKE STEVENS, WA, 98258, UNITED STATES",KRISTINA EVANS,Administratively Dissolved
FAMILY CHIROPRATIC & MASSAGE INC.,602 173 119,WA PROFIT CORPORATION,,WADE K RANDALL,Inactive
FAMILY MASSAGE CENTER INC.,602 046 693,WA PROFIT CORPORATION,,DAVID JACOBS,Inactive
"FAMILY THERAPEUTIC MASSAGE, INC.",602 346 133,WA PROFIT CORPORATION,,SCOTT ALLEN GROVER,Inactive
FANNY PLUCKER FOOT MASSAGE CO.,601 799 002,,,,
"FANTASY MASSAGE, LLC",603 183 070,WA LIMITED LIABILITY COMPANY,"29500 PACIFIC HIGHWAY S STE F, FEDERAL WAY, WA, 98003, UNITED STATES",HONG ZHENG,Administratively Dissolved
"FERNANDEZ THERAPEUTIC MASSAGE, LLC",604 179 702,WA LIMITED LIABILITY COMPANY,"2417 PACIFIC AVE SE STE 2E, OLYMPIA, WA, 98501-2052, UNITED STATES",JENNIFER FERNANDEZ,Active
"FERNDALE MASSAGE CLINIC, PLLC",603 420 127,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2376 MAIN ST STE 3, FERNDALE, WA, 98248-8605, UNITED STATES",THERESE KELLIHER,Active
FIRCREST MASSAGE LLC,604 175 981,WA LIMITED LIABILITY COMPANY,"6314 19TH ST W, STE 13, FIRCREST, WA, 98466-6223, UNITED STATES",PRAJNA TULADHAR,Active
"FIRDALE VILLAGE MASSAGE, INC.",602 940 850,,,,
"FIRST HAND MASSAGE THERAPY, L.L.C.",602 240 475,WA LIMITED LIABILITY COMPANY,,CAMERON FOSTER,Inactive
FIT TO BE THAI'D MASSAGE P.L.L.C.,604 390 694,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6720 49TH ST NE, MARYSVILLE, WA, 98270-6919, UNITED STATES",MICHELLE WAMMOCK,Active
FITNESS CONNECTION MASSAGE LLC,603 375 200,WA LIMITED LIABILITY COMPANY,"2703 CAPITAL MALL DR SW #104, OLYMPIA, WA, 98502, UNITED STATES",KARIN PELLICER,Administratively Dissolved
"FIVE MILE MASSAGE THERAPY, LLC",604 172 371,WA LIMITED LIABILITY COMPANY,"5621 N BEMIS ST, SPOKANE, WA, 99205-7656, UNITED STATES",JESSICA RUNBECK,Active
"FIVE WINDS MASSAGE, LLC",603 516 229,WA LIMITED LIABILITY COMPANY,"19102 E SPRAGUE, SPOKANE VALLEY, WA, 99016, UNITED STATES",STEPHANYMONTGOMERY,Administratively Dissolved
FJORD THERAPEUTIC MASSAGE LLC,603 327 762,WA LIMITED LIABILITY COMPANY,,BALANCE OT INC,Administratively Dissolved
"FLEXER MASSAGE THERAPY, INC.",602 368 799,WA PROFIT CORPORATION,"5004 N FAIRMOUNT PL, SPOKANE, WA, 99205, UNITED STATES",JOANN E FLEXER,Inactive
FLOJO THERAPEUTIC MASSAGE LLC,603 322 302,WA LIMITED LIABILITY COMPANY,"1801 WEST BAY DR NW STE 208A, OLYMPIA, WA, 98502-4314, UNITED STATES",ANDREW FLOJO,Active
"FLOURISH MASSAGE THERAPY, PLLC",602 916 057,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1510 30TH AVENUE, SEATTLE, WA, 98122, UNITED STATES",MONICA HOCKLANDER,Administratively Dissolved
FLUIDITY MASSAGE AND BODY WORK LLC,604 380 593,WA LIMITED LIABILITY COMPANY,"1000 EAST JEWETT BLVD., WHITE SALMON, WA, 98672, UNITED STATES",AVARY LASTOFKA,Active
"FOOT MASSAGE AT THE VILLAGE, LLC",603 363 835,WA LIMITED LIABILITY COMPANY,"2724 NE 45TH ST STE B, SUITE B, SEATTLE, WA, 98105-5022, UNITED STATES",QIANJIAO MA,Active
FOOTHILLS MASSAGE LLC,602 342 359,WA LIMITED LIABILITY COMPANY,,KRISTINEPROCTOR,Administratively Dissolved
"FOOTHILLS MASSAGE THERAPY, INC.",603 084 641,WA PROFIT CORPORATION,,ANY ETHOMASON,Administratively Dissolved
FOOTOPIA MASSAGE INC,603 019 870,WA PROFIT CORPORATION,"129 PARK LANE, KIRKLAND, WA, 98033, UNITED STATES",YU ZHAI SUN,Administratively Dissolved
"FORTHRIGHT MASSAGE, LLC",604 090 596,WA LIMITED LIABILITY COMPANY,"762 6TH AVE, FOX ISLAND, WA, 98333, UNITED STATES",ASHLEY FLATELAND,Voluntarily Dissolved
"FORWARD MASSAGE AND WELLNESS, LLC",604 150 606,WA LIMITED LIABILITY COMPANY,"14217 EVANSTON AVE N, SEATTLE, WA, 98133, UNITED STATES",MICHAEL RITTER,Administratively Dissolved
"FOXFIRE FITNESS MASSAGE THERAPY, INC.",602 965 024,WA PROFIT CORPORATION,"832 VALLEY MALL PKWY STE A, EAST WENATCHEE, WA, 98802, UNITED STATES",FOXFIRE MASSAGE THERAPY,Active
FREE FALL MASSAGE PLLC,604 267 738,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"690 FOX DR, FOX ISLAND, WA, 98333-9752, UNITED STATES",NEESHA BRAVARD,Active
"FREMONT MASSAGE & SPA, INC.",602 105 601,WA PROFIT CORPORATION,,SEA KWAANG OH,Inactive
"FREMONT MASSAGE & TANNING, INC.",602 444 657,WA PROFIT CORPORATION,"469 N 26TH ST #B, SEATTLE, WA, 98103, UNITED STATES",KELLY YOON,Inactive
"FREMONT MASSAGE SPA #2, INC.",602 075 262,WA PROFIT CORPORATION,,YONG K LEE CPA,Inactive
"FREMONT MASSAGE SPA & TANNING, INC.",602 115 599,WA PROFIT CORPORATION,,YONG K LEE,Inactive
"FREMONT MASSAGE SPA, LLC",601 992 018,WA LIMITED LIABILITY COMPANY,,WILLIAM C UZNAY,Inactive
"FULL CIRCLE THERAPEUTIC MASSAGE AND BODYWORK, LLC",602 773 344,WA LIMITED LIABILITY COMPANY,"3912 N 28TH STREET, TACOMA, WA, 98407, UNITED STATES",KIM ORTE,Administratively Dissolved
"FULL MOON MASSAGE, LLC",603 085 173,WA LIMITED LIABILITY COMPANY,"15915 NE 7TH ST., VANCOUVER, WA, 98684, UNITED STATES",DOUG DULAK,Administratively Dissolved
FULLSOUL MASSAGE LLC,604 141 018,,,,
FULLSOUL MASSAGE PLLC,604 141 018,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2025 112TH AVE NE SUITE 301, BELLEVUE, WA, 98004, UNITED STATES",STEPHANIE UPCHURCH,Delinquent
FUSION MASSAGE & BODYWORK LLP,603 277 362,WA LIMITED LIABILITY PARTNERSHIP,,CASSANDRA LYNN ST CLAIRE,Delinquent
FUZU FOOT MASSAGE CORP,604 285 263,WA PROFIT CORPORATION,"10037 MAIN ST, BOTHELL, WA, 98011-3423, UNITED STATES",GRACE WANG,Voluntarily Dissolved
"FW MASSAGE PRO, LLC",603 609 799,WA LIMITED LIABILITY COMPANY,"720 S 333RD ST, SUITE 218, FEDERAL WAY, WA, 98003, UNITED STATES",HEATHER BLACK,Active
G & R MASSAGE SPA CORP,604 327 878,WA PROFIT CORPORATION,"35 SE EVERETT MALL WAY STE 104, EVERETT, WA, 98208-3215, UNITED STATES",CHUNXIA YOURSTONE,Active
G A MASSAGE & FITNESS INC,603 031 251,FOREIGN PROFIT CORPORATION,"24115 E BROADWAY CT, LIBERTY LAKE, WA, 99019-9671, UNITED STATES",SHELLEY CRUMP,Active
G. SCHWEITZER MASSAGE THERAPIST CORPORATION,602 461 872,FOREIGN PROFIT CORPORATION,"UNIT C 3622 DENSMORE AVE N, SEATTLE, WA, 98103, UNITED STATES",KARAH A CARD,Terminated
"GARDEN OF WELLNESS THERAPEUTIC MASSAGE, LLC",603 129 292,WA LIMITED LIABILITY COMPANY,,MARIEWALKER,Voluntarily Dissolved
